serial,month,year,fish_id,species,prey,prey_weight_g,lat,lon
101,6,2015,2004,yellow perch,amphipoda,0.008,41.68390833,-83.15132833
101,6,2016,1834,white perch,chironomidae ,NA,41.68390833,-83.15132833
101,6,2015,2004,yellow perch,chironomidae ,0.001,41.68390833,-83.15132833
101,6,2016,1835,white perch,chironomidae ,0.001,41.68390833,-83.15132833
101,6,2016,1834,white perch,chironomidae ,0.002,41.68390833,-83.15132833
101,6,2013,2038,yellow perch,chironomidae ,0.008,41.68390833,-83.15132833
101,6,2013,2038,yellow perch,chironomidae ,0.026,41.68390833,-83.15132833
101,6,2015,2005,yellow perch,leptodora kindtii,0.002,41.68390833,-83.15132833
101,6,2013,2043,white perch,leptodora kindtii,0.004,41.68390833,-83.15132833
101,6,2015,2022,white perch,leptodora kindtii,0.004,41.68390833,-83.15132833
101,6,2013,2040,white perch,leptodora kindtii,0.012,41.68390833,-83.15132833
101,6,2016,1834,white perch,daphniidae,0.014,41.68390833,-83.15132833
101,6,2015,2020,white perch,leptodora kindtii,0.016,41.68390833,-83.15132833
101,6,2015,2024,white perch,leptodora kindtii,0.023,41.68390833,-83.15132833
101,6,2015,2023,white perch,leptodora kindtii,0.038,41.68390833,-83.15132833
101,6,2016,1835,white perch,daphniidae,0.046,41.68390833,-83.15132833
101,6,2013,2042,white perch,leptodora kindtii,0.056,41.68390833,-83.15132833
101,6,2016,1833,white perch,daphniidae,0.066,41.68390833,-83.15132833
101,6,2013,2041,white perch,daphniidae,0.121,41.68390833,-83.15132833
101,6,2013,2043,white perch,daphniidae,0.156,41.68390833,-83.15132833
101,6,2013,2040,white perch,daphniidae,0.16,41.68390833,-83.15132833
101,6,2015,2005,yellow perch,daphniidae,0.192,41.68390833,-83.15132833
101,6,2015,2022,white perch,daphniidae,0.224,41.68390833,-83.15132833
101,6,2016,1836,white perch,daphniidae,0.241,41.68390833,-83.15132833
101,6,2013,2039,white perch,daphniidae,0.253,41.68390833,-83.15132833
101,6,2013,2042,white perch,daphniidae,0.87,41.68390833,-83.15132833
101,6,2013,2041,white perch,calanoida,0.005,41.68390833,-83.15132833
101,6,2013,2039,white perch,calanoida,0.005,41.68390833,-83.15132833
101,6,2013,2037,yellow perch,dreissenidae,0.002,41.68390833,-83.15132833
101,6,2015,2004,yellow perch,dreissenidae,0.763,41.68390833,-83.15132833
101,6,2015,2003,yellow perch,dreissenidae,0.963,41.68390833,-83.15132833
101,6,2015,2002,yellow perch,dreissenidae,1.44,41.68390833,-83.15132833
101,6,2015,2024,white perch,fish,0.009,41.68390833,-83.15132833
101,6,2013,2037,yellow perch,gastropoda,0.125,41.68390833,-83.15132833
101,6,2015,2023,white perch,hexagenia ,0.006,41.68390833,-83.15132833
101,6,2013,2038,yellow perch,hexagenia ,0.009,41.68390833,-83.15132833
